id,nav_label,nav_id,nav_parent,nav_link,nav_order,nav_icon,nav_access_group_level,nav_access_user_role,nav_location
65de4f4a31848ffaf4959233,Dashboard,dashboard,,/,0,dashboard,-1,,top
65de4f4a31848ffaf4959234,Devices,devices,,/devices,1,memory,-1,,top
65de4f4a31848ffaf4959235,Register Device,devices.register_device,devices,/devices/register,0,,-1,admin,top
65de4f4a31848ffaf4959236,Events,events,,/events,2,warning,-1,,top
65de4f4a31848ffaf4959237,Customers,customers,,/customers,3,apartment,0,admin,top
65de4f4a31848ffaf4959238,Sites,sites,,/sites,4,location_on,1,,top
65de4f4a31848ffaf4959239,Users,users,,/users,5,person,-1,admin,top
65de4f4a31848ffaf495923a,Particle,c7545a19-49c5-4fcf-b046-30b1425799ca,admin,/admin/particle,0,,0,,bottom
65de4f4a31848ffaf495923b,Admin,admin,,,0,admin_panel_settings,0,,bottom
65de4f4a31848ffaf495923c,White Label,whitelabel,admin,/admin/whitelabel,1,,0,,bottom
65de4f4a31848ffaf495923d,Navigation,navigation,admin,/admin/navigation,2,,0,,bottom
65de4f4a31848ffaf495923e,Devices Table,56596bf2-c9f6-46f4-8159-819eb9654d0f,admin,/admin/devices-table,3,,0,,bottom
65de4f4a31848ffaf495923f,Device Tags,b557e26d-cbc5-43b7-bc41-b39ba4d63004,admin,/admin/device-tags,4,,0,,bottom
65de4f4a31848ffaf4959240,Dashboards,f9d5dde5-7a39-4193-a8c8-305599e69e7b,admin,/admin/dashboards,5,,0,,bottom
66955b78f67a9b482bc222f5,Alerting,d599536c-aa49-43b0-af23-fccb19e8e062,admin,/admin/alerting,4,,0,,bottom
