time_in_cycles,setting_1,TRA,T2,T24,T30,T50,P2,P15,P30,Nf,Nc,Ps30,phi,NRf,NRc,htBleed,Nf_dmd,PCNfR_dmd,W31,W32,failure
1,0.0025,100,518.67,642.04,1588.91,1404.3,14.62,21.61,552.8,2388.02,9063.58,47.36,521.38,2388.09,8143.02,393,2388,100,38.88,23.2326,0
2,35.0058,100,449.44,556.13,1363.81,1124.7,5.48,8,194.62,2223.04,8354.83,42.01,183.06,2388.12,8073.01,334,2223,100,14.86,8.9052,0
3,0.002,100,518.67,642.76,1588.03,1407.73,14.62,21.61,553.13,2388.07,9063.35,47.39,521.91,2388.09,8141.78,393,2388,100,38.73,23.2169,0
4,41.9998,100,445,549.96,1348.36,1122.03,3.91,5.71,138.79,2212.06,8321.27,41.89,130.11,2388.18,8093.08,331,2212,100,10.68,6.4105,0
5,0.0024,100,518.67,642.21,1586.67,1407.04,14.62,21.61,553.86,2388.03,9061.96,47.4,521.48,2388.04,8147.29,391,2388,100,39.03,23.4084,0
6,20.0033,100,491.19,607.11,1481.72,1248.71,9.35,13.66,335.2,2323.96,8729.45,44.47,315.37,2388.16,8070.72,364,2324,100,24.41,14.6687,0
7,10.0047,100,489.05,604.86,1505.35,1310.27,10.52,15.49,394.1,2318.92,8790.67,45.28,371.47,2388.1,8138.6,369,2319,100,28.61,17.1675,0
8,0.0021,100,518.67,642.31,1581.99,1405.72,14.62,21.61,554.92,2388.05,9064.63,47.4,521.73,2388.01,8146.31,392,2388,100,39,23.4171,0
9,10.0032,100,489.05,604.81,1495.56,1305.39,10.52,15.49,394.87,2318.98,8782.01,45.34,371.78,2388.1,8137.72,368,2319,100,28.69,17.1786,0
10,25.0001,60,462.54,536.87,1263.73,1044.97,7.05,9.03,175.78,1915.45,8016.44,36.71,164.47,2028.36,7880.2,305,1915,84.93,14.28,8.508,0
11,10.0009,100,489.05,604.4,1496.15,1307.82,10.52,15.5,394.65,2318.88,8779.67,45.41,371.46,2388.11,8129.52,368,2319,100,28.56,17.2614,0
12,42.0057,100,445,549.44,1354.31,1127.54,3.91,5.72,139.22,2212,8321.45,42.05,130.45,2388.08,8088.15,332,2212,100,10.63,6.2389,0
13,42.0072,100,445,549.7,1349.5,1126.37,3.91,5.72,139.17,2212.03,8325.22,42.09,130.53,2388.16,8093.48,330,2212,100,10.5,6.3702,0
14,0.0009,100,518.67,642.19,1584.74,1400.46,14.62,21.61,553.22,2388.08,9069.03,47.47,521.57,2388.1,8142.43,392,2388,100,39.07,23.4123,0
15,42.0066,100,445,549.25,1350.47,1129.38,3.91,5.72,139.19,2212.04,8321.55,42.03,130.74,2388.09,8085.91,332,2212,100,10.51,6.3607,0
16,0.0016,100,518.67,642.05,1584.18,1402.85,14.62,21.61,553.84,2388.08,9060.64,47.38,521.38,2388.05,8143.85,393,2388,100,38.94,23.3335,0
17,9.9988,100,489.05,604.04,1497.06,1313.28,10.52,15.49,394.27,2318.91,8794.3,45.41,371.7,2388.09,8136.98,368,2319,100,28.63,17.0145,0
18,42.0035,100,445,549.75,1353.68,1122.27,3.91,5.71,138.95,2211.96,8323.2,41.86,130.61,2388.11,8092.55,329,2212,100,10.64,6.4294,0
19,35.0027,100,449.44,556.15,1369.51,1130.29,5.48,8,194.61,2223.09,8361.69,41.86,182.96,2388.19,8079,334,2223,100,14.75,8.9394,0
20,35.002,100,449.44,556.01,1366.15,1124.31,5.48,8,194.35,2223.1,8357.43,41.9,183.09,2388.18,8074.2,334,2223,100,14.89,8.7571,0
21,42.0026,100,445,549.23,1351.49,1123.6,3.91,5.72,139.03,2212.06,8328.39,42,131.03,2388.08,8093.05,331,2212,100,10.63,6.3981,0
22,42.0034,100,445,548.94,1350.15,1126.44,3.91,5.72,138.82,2212.08,8332.65,42.18,130.86,2388.1,8091.39,330,2212,100,10.65,6.3243,0
23,35.0033,100,449.44,556.06,1362.68,1122.25,5.48,8,194.39,2223.13,8359.48,41.89,183.07,2388.18,8075.05,333,2223,100,14.94,8.9039,0
24,20.0042,100,491.19,607.15,1482.68,1250.3,9.35,13.66,335.58,2324,8728.19,44.49,314.86,2388.16,8070.96,365,2324,100,24.62,14.6853,0
25,42.0047,100,445,549.23,1350.6,1123.76,3.91,5.71,138.69,2211.94,8329,42.06,130.44,2388.06,8091.77,330,2212,100,10.58,6.4372,0
